Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Отключен автотрансфер планов.
ГДД,Сервис расчета зарплаты,Исправлены ошибки в отчетах по дочерним компаниям.
ГДД,Сервис расчета зарплаты,Долги теперь отображаются за весь период.
ГДД,Сервис расчета зарплаты,Добавлена возможность отображения долгов в разрезе года.
ГДД,Сервис расчета зарплаты,Удалены Дмитриенко и Эстетика из списка.
ГДД,Сервис расчета зарплаты,Реализован перенос планов по партнерам.
ГДД,Сервис расчета зарплаты,Добавлена возможность выставления плана по группам.
ГДД,Сервис расчета зарплаты,Создан отчет по регионам терапии.
ГДД,Сервис расчета зарплаты,Создан отчет по регионам.
ГДД,Сервис расчета зарплаты,Добавлена информация об условиях начисления бонусов.
ГДД,Сервис расчета зарплаты,Добавлена информация о суммах заказов за период.
ГДД,Сервис расчета зарплаты,"Реализована сортировка данных на главной странице (Оплачено, Отгружено, Долг)."
ГДД,Сервис расчета зарплаты,Создан метод получения суммы бонусов.
ГДД,Сервис расчета зарплаты,Доработаны отчеты.
ГДД,Сервис расчета зарплаты,Реализован метод массовой отправки заказов.
ГДД,Сервис расчета зарплаты,Добавлена обработка незакрытых заказов.
ГДД,Сервис расчета зарплаты,Исправлены ошибки в запросе заказов.
ГДД,Сервис расчета зарплаты,"Добавлена детализация по долгам, отгрузкам и оплатам для партнеров и менеджеров."
ГДД,Сервис расчета зарплаты,Реализована проверка роли для запуска расписания.
ГДД,Сервис расчета зарплаты,"Создан отчет по оплаченным и отгруженным сделкам."
ГДД,Сервис расчета зарплаты,Добавлен план подчиненных в основной отчет по сотрудникам.
ГДД,Сервис расчета зарплаты,Выполнен расчет за ноябрь.
ГДД,Сервис расчета зарплаты,Обновлен процесс трансфера планов из тестовой среды в продакшн.
ГДД,Работа с сервером,Выполнен бэкап базы данных.
