Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Повышение бонусов на 2% по Рябинину."
ГДД,Сервис расчета зарплаты,"Учтены оплаченные, но не отгруженные заказы за июль."
ГДД,Сервис расчета зарплаты,Проведен рефакторинг кода.
ГДД,Сервис расчета зарплаты,"Удален отдел Терапия 2, сотрудники перераспределены в другие отделы."
ГДД,Сервис расчета зарплаты,"Добавлены оплаченные, но не отгруженные заказы за июнь."
ГДД,Сервис расчета зарплаты,План на июль добавлен.
ГДД,Сервис расчета зарплаты,"Улучшены алгоритмы добавления нового пользователя."
ГДД,Сервис расчета зарплаты,"Добавлен алгоритм пропорционального урезания плана в зависимости от продолжительности отпуска."
ГДД,Сервис подтверждений,"Добавлена поддержка командировок."
ДЭ,Общая библиотека,"Перенос создания сессии в клиентах на первый запрос."
ДЭ,Общая библиотека,"Добавлен метод new для поддержки вызова класса без init."
ДЭ,Работа с сервером,"Обновлен чарт для интеграции с GitLab."
