Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Добавлены новые региональные партнеры."
ГДД,Сервис расчета зарплаты,"Добавлен перерасчет бонусов при изменении плана."
ГДД,Сервис расчета зарплаты,"Реализована периодическая связь между пользователем и руководителем."
GДД,Сервис расчета зарплаты,"Изменены проценты у РОПов."
ГДД,Сервис расчета зарплаты,"Добавлены дженерики."
ГДД,Сервис расчета зарплаты,"Реализовано рекурсивное получение сотрудников по периоду."
ГДД,Сервис расчета зарплаты,"Добавлен вывод должности у пользователей."
ГДД,Сервис расчета зарплаты,"Созданы абстрактные тесты для расчета бонусов."
ГДД,Сервис расчета зарплаты,"Добавлен Endoseal MTA."
ГДД,Сервис расчета зарплаты,"Выставлены планы для РОПов."
ГДД,Сервис дашбордов,"Исправлено отображение больших планов на дашборде."
ГДД,Общая библиотека,"Перенесен вызов создания сессии в клиентах на первый запрос."
ГДД,Сервис платежных систем,"Добавлен метод для повторной отправки заказов."
ГДД,Работа с сервером,"Добавлена проверка для платежных систем на случай недоступности 1С."
ГДД,Сервис расчета зарплаты,"Изменена агрегация суммарного плана."
ГДД,Сервис расчета зарплаты,"Доработана выгрузка заказов."
ГДД,Сервис расчета зарплаты,"Исправлен расчет за прошлые периоды."
ГДД,Сервис расчета зарплаты,"Исправлен расчет для торгующих сотрудников."
ГДД,Сервис расчета зарплаты,"Добавлена синхронизация заказов."
ГДД,Сервис расчета зарплаты,"Реализована группировка в годовом отчете."
ГДД,Сервис расчета зарплаты,"Добавлен партнер в список выставленных планов."
ГДД,Сервис расчета зарплаты,"Реализована схема суммарного плана."
ГДД,Сервис расчета зарплаты,"Добавлен отчет план-факт за период."
