Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Исправлена информация по оплате/отгрузке
ГДД,Сервис расчета зарплаты,Добавлен вывод статистики региональному менеджеру и РОП 
ГДД,Сервис расчета зарплаты,Добавлена проверка ролей при изменении плана 
ГДД,Сервис расчета зарплаты,Доработан годовой отчет 
ГДД,Сервис расчета зарплаты,Изменены проценты мотивации
ГДД,Сервис расчета зарплаты,Доработана логика расчета под новые группы товаров
ГДД,Сервис расчета зарплаты,Доработаны хендлеры
ГДД,Сервис расчета зарплаты,Добавлена загрузка планов из таблицы
ГДД,Сервис расчета зарплаты,Загружены планы на 2025 год по регионам
ГДД,Сервис расчета зарплаты,Загружены планы на 2025 год по терапии
ГДД,Сервис расчета зарплаты,Добавлена сумма в планфакт подчиненных
ГДД,Сервис расчета зарплаты,Обновление пайплайна 
ГДД,Сервис расчета зарплаты,"Убраны ERGOnaizer, R2 Dual из всех отчетов "
ГДД,Сервис расчета зарплаты,Добавлена сумма в отчеты 
ГДД,Сервис расчета зарплаты,Переработана структура отчета 
ГДД,Сервис расчета зарплаты,Объеденена информация по отделам 
ГДД,Сервис расчета зарплаты,Добавлены отделы 
ГДД,Сервис расчета зарплаты,Фикс тестов 
ГДД,Сервис расчета зарплаты,Изменены проценты РОП 
ГДД,Сервис расчета зарплаты,Добавлено получение списка региональных сотрудников 
ГДД,Сервис дашбордов,Исправлено отображение больших планов 
ГДД,Общая библиотека,Добавлено декодирование при логировании текста запроса 
ГДД,Работа с сервером,Добавлен релиз minio 
ГДД,Работа с сервером,Добавлен чарт minio 
ГДД,Работа с сервером,Доработано расписание бэкапов бд
