Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Обнулены планы по линейкам."
ГДД,Сервис расчета зарплаты,"Сотрудники и их планы перенесены в единый отдел."
ГДД,Сервис расчета зарплаты,"Добавлен вывод таблицы бонусов."
ГДД,Сервис расчета зарплаты,"Убран выбор перерасчета бонусов при изменении плана."
ГДД,Сервис расчета зарплаты,"Добавлена сортировка партнеров по умолчанию."
ГДД,Сервис расчета зарплаты,"Реализовано получение информации о себе как сотруднике для выставления плана."
ГДД,Сервис расчета зарплаты,"Добавлено расписание для автоматического переноса заказов и планов."
ГДД,Сервис расчета зарплаты,"Реализовано получение списка партнеров."
ГДД,Сервис расчета зарплаты,"Добавлен вывод общей суммы бонусов."
ГДД,Сервис расчета зарплаты,"Добавлен функционал для выставления плана самому себе."
ГДД,Сервис расчета зарплаты,"Убран логгер GET-запросов."
ГДД,Сервис расчета зарплаты,"Добавлено API для установки руководителя."
ГДД,Сервис расчета зарплаты,"Добавлен новый отчет для бонусов."
ГДД,Сервис расчета зарплаты,"Исправлен вывод планов подчиненных."
ГДД,Сервис расчета зарплаты,"Улучшен запрос для получения заказов."
ГДД,Сервис расчета зарплаты,"Исправлено отображение выставленных планов в разделе планирования."
ГДД,Сервис расчета зарплаты,"Добавлен сборщик запросов."
ГДД,Сервис расчета зарплаты,"Добавлена информация о должности в данные о пользователе."
ГДД,Сервис расчета зарплаты,"Добавлен периодический регистр иерархии в отчет выполнения плана."
ГДД,Сервис расчета зарплаты,"Актуализирован перерасчет бонусов с учетом дочерних компаний."
ГДД,Сервис расчета зарплаты,"Вынесено создание датафрейма в отдельный сервис."
ГДД,Сервис расчета зарплаты,"Созданы тесты для расчета бонусов с учетом дочерних компаний."
ГДД,Сервис расчета зарплаты,"Добавлена связь между партнером и дочерней компанией."
ГДД,Сервис расчета зарплаты,"Добавлены миграции базы данных."
ГДД,Сервис расчета зарплаты,"Удалены 'ERGOnaizer' и 'R2 Dual'."
ГДД,Сервис расчета зарплаты,"Удален Endoseal MTA."
ГДД,Сервис расчета зарплаты,"Выполнен расчет за октябрь."
ГДД,Сервис расчета зарплаты,"Перенесены планы в первую версию сервиса."
ГДД,Сервис расчета зарплаты,"Добавлена возможность удаления плана."
ГДД,Сервис расчета зарплаты,"Исправлен вывод планов подчиненных."
ГДД,Сервис расчета зарплаты,"Добавлена проверка на отсутствие плана."
ГДД,Сервис расчета зарплаты,"Удалены неактивные пользователи из списка подчиненных."
ГДД,Сервис расчета зарплаты,"Убран выбор себя из выставления плана."
ГДД,Сервис расчета зарплаты,"Добавлен общий план с учетом долга."
ГДД,Сервис расчета зарплаты,"Выполнено изменение агрегации суммарного плана."
ГДД,Сервис расчета зарплаты,"Доработана выгрузка заказов."
ГДД,Сервис расчета зарплаты,"Исправлен расчет за прошлые периоды."
ГДД,Сервис расчета зарплаты,"Исправлен расчет для торгующих сотрудников."
ГДД,Сервис расчета зарплаты,"Реализована синхронизация заказов."
ГДД,Сервис расчета зарплаты,"Добавлена группировка в годовом отчете."
ГДД,Сервис расчета зарплаты,"Добавлен партнер в список выставленных планов."
ГДД,Сервис расчета зарплаты,"Добавлена схема для суммарного плана."
ГДД,Сервис расчета зарплаты,"Добавлен отчет план-факт за период."
ГДД,Общая библиотека,"Добавлено декодирование текста запроса при логировании."
ГДД,Сервис платежных систем,"Добавлен метод для повторной отправки заказов."
ГДД,Работа с сервером,"Сделан бэкап базы данных."
