Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Выставить план по линейкам в 0."
ГДД,Сервис расчета зарплаты,"Перенести сотрудников и их планы в единый отдел."
ГДД,Сервис расчета зарплаты,"Добавить вывод таблицы бонусов."
ГДД,Сервис расчета зарплаты,"Убрать возможность выбора перерасчета бонусов при изменении плана."
ГДД,Сервис расчета зарплаты,"Реализовать сортировку партнеров по умолчанию."
ГДД,Сервис расчета зарплаты,"Реализовать получение данных о себе как сотруднике для выставления плана."
ГДД,Сервис расчета зарплаты,"Настроить расписание для автоматического переноса заказов и планов."
ГДД,Сервис расчета зарплаты,"Добавить функционал получения списка партнеров."
ГДД,Сервис расчета зарплаты,"Добавить вывод общей суммы бонусов."
ГДД,Сервис расчета зарплаты,"Реализовать возможность выставления плана самому себе."
ГДД,Сервис расчета зарплаты,"Удалить логгер для GET-запросов."
ГДД,Сервис расчета зарплаты,"Реализовать API для установки руководителя."
ГДД,Сервис расчета зарплаты,"Создать новый отчет для бонусов."
ГДД,Сервис расчета зарплаты,"Исправить вывод планов подчиненных."
ГДД,Сервис расчета зарплаты,"Улучшить запрос для получения заказов."
ГДД,Сервис расчета зарплаты,"Исправить отображение выставленных планов в разделе планирования."
ГДД,Сервис расчета зарплаты,"Добавить сборщик запросов."
ГДД,Сервис расчета зарплаты,"Добавить должность в информацию о пользователе."
ГДД,Сервис расчета зарплаты,"Включить периодический регистр иерархии в отчет выполнения плана."
ГДД,Сервис расчета зарплаты,"Обновить алгоритм перерасчета бонусов с учетом дочерних компаний."
ГДД,Сервис расчета зарплаты,"Перенести создание датафрейма в отдельный сервис."
ГДД,Сервис расчета зарплаты,"Создать тесты для расчета бонусов с учетом дочерних компаний."
ГДД,Сервис расчета зарплаты,"Реализовать связь между партнером и дочерней компанией."
ГДД,Сервис расчета зарплаты,"Добавить миграции для базы данных."
ГДД,Сервис расчета зарплаты,"Удалить 'ERGOnaizer' и 'R2 Dual'."
ГДД,Сервис расчета зарплаты,"Удалить Endoseal MTA."
ГДД,Сервис расчета зарплаты,"Провести расчет за октябрь."
ГДД,Сервис расчета зарплаты,"Перенести планы в первую версию сервиса."
ГДД,Сервис расчета зарплаты,"Добавить возможность удаления плана."
ГДД,Сервис расчета зарплаты,"Исправить вывод планов подчиненных."
ГДД,Сервис расчета зарплаты,"Добавить проверку на отсутствие плана."
ГДД,Сервис расчета зарплаты,"Удалить неактивных пользователей из списка подчиненных."
ГДД,Сервис расчета зарплаты,"Убрать возможность выбора себя из списка выставления плана."
ГДД,Сервис расчета зарплаты,"Добавить общий план с учетом долга."
ГДД,Сервис расчета зарплаты,"Изменить агрегацию суммарного плана."
ГДД,Сервис расчета зарплаты,"Доработать выгрузку заказов."
ГДД,Сервис расчета зарплаты,"Исправить расчет за прошлые периоды."
ГДД,Сервис расчета зарплаты,"Исправить расчет для торгующих сотрудников."
ГДД,Сервис расчета зарплаты,"Настроить синхронизацию заказов."
ГДД,Сервис расчета зарплаты,"Реализовать группировку в годовом отчете."
ГДД,Сервис расчета зарплаты,"Добавить партнера в список выставленных планов."
ГДД,Сервис расчета зарплаты,"Создать схему для суммарного плана."
ГДД,Сервис расчета зарплаты,"Добавить отчет план-факт за период."
ГДД,Общая библиотека,"Добавить декодирование текста запроса при логировании."
ГДД,Сервис платежных систем,"Реализовать метод для повторной отправки заказов."
ГДД,Работа с сервером,"Сделать бэкап базы данных."
