Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Реализовать повышение на 2% по Рябинину и учесть оплаченные, но не отгруженные заказы за июль."
ГДД,Сервис расчета зарплаты,Провести рефакторинг кода.
ГДД,Сервис расчета зарплаты,"Удалить отдел Терапия 2 и перераспределить сотрудников по другим отделам."
ГДД,Сервис расчета зарплаты,"Добавить в расчет оплаченные, но не отгруженные заказы за июнь."
ГДД,Сервис расчета зарплаты,Добавить план на июль.
ГДД,Сервис расчета зарплаты,"Улучшить алгоритмы добавления нового пользователя."
ГДД,Сервис расчета зарплаты,"Реализовать алгоритм пропорционального урезания плана в зависимости от продолжительности отпуска."
ГДД,Сервис подтверждений,"Добавить поддержку командировок."
ДЭ,Общая библиотека,"Перенести создание сессии в клиентах на первый запрос."
ДЭ,Общая библиотека,"Добавить метод new для поддержки вызова класса без init."
ДЭ,Работа с сервером,"Обновить чарт для интеграции с GitLab."
