Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Добавлен ноутбук для подтягивания данных из excel ,4
ГДД,Сервис расчета зарплаты,Добавлена сортировка по фамилии во вкладке бонусов ,6
ГДД,Сервис расчета зарплаты,Убран тестовый эндпоинт и багфикс выведения даты ,2
ГДД,Сервис расчета зарплаты,исправление url для отчета курсов ,6
ГДД,Сервис расчета зарплаты,Адаптация сервиса уведомлений под утечку сессий ,5
ГДД,Сервис расчета зарплаты,Уведомления через http запрос ,7
ГДД,Сервис расчета зарплаты,Убран пинг ,3
ГДД,Сервис расчета зарплаты,Убрана повторная отправка уведомления ,3
ГДД,Сервис расчета зарплаты,Добавлен dto для уведомлений ,5
ГДД,Сервис расчета зарплаты,тестовая версия уведомлений ,6
ГДД,Сервис расчета зарплаты,Черновая версия сервиса уведомлений ,3
ГДД,Сервис расчета зарплаты,Добавлен ноутбук для трансфера некоторых типов планов ,5
ГДД,Сервис расчета зарплаты,"Убрано поле ""К отгрузке"", добавлена сортировка по дате у ""Списаний и покупок"" ",8
ГДД,Сервис расчета зарплаты,Изменен формат вывода для склада комлектующих ,6
ГДД,Сервис расчета зарплаты,Добавлено округление поступлений в меньшую сторону ,7
ГДД,Сервис расчета зарплаты,"Добавлено пояснение контекста ""списание"" или ""покупка"", отображение ""поступлений"" и ""списаний и покупок"" за все время ",4
