Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Убран перетекающий план из годового плана ,10
ГДД,Сервис расчета зарплаты,Убраны из бонусов в регионах партнеры не закрепленные менеджером ,6
ГДД,Общая библиотека,Добавлено получение пользователя по фильтрам ,8
ГДД,Сервис подтверждений,Выключены подтверждения по реализациям на время выставки ,6
ГДД,Сервис подтверждений,Выключены подтверждения на время выставки ,5
ГДД,Сервис подтверждений,Исправлена ошибка с подтверждением баннеров через телеграм ,8
ГДД,Сервис работы с товарами,Добавлен Склад выставка ГоффДД ,8
ГДД,Сервис работы с товарами,Добавлена цена производителя при выборе склада комплектующих ,9
ГДД,Сервис работы с товарами,Добавлен Склад комплектующих ГоффДД ,5
ГДД,Работа с сервером,Убран старый отчет ,7
ГДД,Сервис авторизации,Исправлено отображение ошибок ,8
