Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Изменено расписание синхронизации заказов 
ГДД,Сервис расчета зарплаты,Добавлены уведомления при ошибках расчета 
ГДД,Сервис расчета зарплаты,"разделен план розницы и торгующих (идет в ЗП за оптовые продажи, но не идет в план)"
ГДД,Сервис расчета зарплаты,"План по торгующим сделан отдельно в сумме"
ГДД,Сервис расчета зарплаты,"K-File и H-file объединены в одну группу"
ГДД,Сервис расчета зарплаты,Добавлен регламентный расчет премий и вывод по API 
ГДД,Сервис расчета зарплаты,Перенесены расчеты еженедельных бонусов и бонусов по сумме 
ГДД,Сервис работы с товарами,Добавлен акционный вид цены 
ГДД,Сервис работы с товарами,Добавлены позиции акционных товаров 
ГДД,Сервис платежных систем,"Добавлена проверка для заказов прошлого года"
ГДД,Работа с сервером,Добавлен клиент для страницы акционных товаров 
ГДД,Работа с сервером,Добавлен релиз minio 
