Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Добавлен вывод перетекающего плана в планфакт подчиненных 
ГДД,Сервис расчета зарплаты,Добавлен перетекающий план по регионам 
ГДД,Сервис расчета зарплаты,Добавлен scalar 
ГДД,Сервис расчета зарплаты,Добавлен отчет по региональному представителю 
ГДД,Сервис расчета зарплаты,Добавлена проверка на закрепление правильного менеджера 
ГДД,Сервис расчета зарплаты,Добавлен отчет по ЭДУ 
ГДД,Сервис расчета зарплаты,Добавлен вывод отчета по Вердяну 
ГДД,Сервис расчета зарплаты,Добавлен вывод премий ЭДУ 
ГДД,Сервис расчета зарплаты,Добавлены проценты Вердяну по Астрахани 
ГДД,Сервис расчета зарплаты,Залит новый план по регионам 
ГДД,Сервис расчета зарплаты,Изменены проценты по бонусам. Добавлены проценты по обтурации 
ГДД,Сервис расчета зарплаты,Добавлен расчет зарплаты Вердяна 
ГДД,Сервис расчета зарплаты,"Переработан запрос, для исключения ожидания оплаты (Отгрузки попадали в февраль, когда должны быть в январе) "
ГДД,Общая библиотека,Исправлена аутентификация 
ГДД,Общая библиотека,Добавлено декодирование при логировании текста запроса 
ГДД,Сервис подтверждений,Добавлено подтверждение неоплаченных заказов 
ГДД,Сервис подтверждений,Добавлены командировки 
ГДД,Сервис платежных систем,Добавлена проверка для заказов прошлого года 
ГДД,Работа с сервером,Перенос test.gof.dental на crm.gof.dental 
ГДД,Сервис авторизации,Переписан сервис аутентификации на PostgreSQL + FastApi 
ГДД,Сервис личного склада,Добавлен параметр выбора склада 
