Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Добавлен калькулятор под регион Татарстан ,6
ГДД,Сервис расчета зарплаты,Добавлена сортировка по дате окончания в скидках ,4
ГДД,Сервис расчета зарплаты,"Добавлен вывод ошибки при выводе средств, когда кол-во меньше 1000 ",12
ГДД,Сервис расчета зарплаты,Добавлено количество продаж по новым курсам ,7
ГДД,Сервис расчета зарплаты,Переработаны нейминги ,4
ГДД,Сервис расчета зарплаты,Добавлены бонусы за продажу рекламы ,7
ГДД,Сервис расчета зарплаты,"Обновлена функция обновления. Если объект не изменился, значение не изменится ",5
ГДД,Сервис расчета зарплаты,Добавлен отчет для Логоша ,6
ГДД,Сервис расчета зарплаты,Убран легаси код ,3
ГДД,Сервис расчета зарплаты,Выставлены планы региональных менеджеров на декабрь ,12
ГДД,Сервис расчета зарплаты,Добавлен партнер СТОМДЕПО ООО в обход ограничений торгующих представителей ,9
ГДД,Работа с сервером,Добавлен токен для пользователя ,5
