Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Список товаров в прайс-листе изменен на список в папке ГоффДД ,8
ГДД,Сервис расчета зарплаты,Убраны ошибки будущих версий ,5
ГДД,Сервис расчета зарплаты,Исправление отчета по курсам ,7
ГДД,Сервис расчета зарплаты,Миграция изменений из тестовой среды ,10
ГДД,Сервис расчета зарплаты,Добавлена сихнронизация курсов с 1С ,18
ГДД,Сервис работы с товарами,Переработана логика под группу ГоффДД ,8
ГДД,Сервис авторизации,Обновлено логирование ,13
ГДД,Сервис авторизации,Обновлено изменение пароля ,9
ГДД,Сервис расчета зарплаты,Переработаны бонусы ЭДУ,11
ГДД,Сервис расчета зарплаты,Добавлены миграции,11
ГДД,Сервис расчета зарплаты,Добавлены запросы в БД,11
ГДД,Сервис расчета зарплаты,Добавлена логика расчета ,11
