Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Исправление создания партнеров ,5
ГДД,Сервис расчета зарплаты,Переработка расчета бонусов по курсам ДентЭду ,2
ГДД,Сервис расчета зарплаты,Добавлен метод детального просмотра заказов с главной страницы ,5
ГДД,Сервис расчета зарплаты,Добавлена система прав в привязке заказов ,8
ГДД,Сервис расчета зарплаты,Добавлен перерасчет бонусов при замене менеджера ,4
ГДД,Сервис расчета зарплаты,Добавлена принудительная замена менеджера в заказе ,5
ГДД,Сервис расчета зарплаты,Добавлен поиск заказов по похожему номеру / партнеру / менеджеру ,5
ГДД,Сервис расчета зарплаты,Добавлен вывод списка заказов ,4
ГДД,Сервис расчета зарплаты,Правка выгрузки отчета по зарплате ,5
ГДД,Сервис расчета зарплаты,Убрано обнуление бонусов дентеду ,5
ГДД,Сервис расчета зарплаты,Исправлены нейминги ,5
ГДД,Сервис замены брака,Добавлен CICD пайплан gitlab ,5
ГДД,Сервис подтверждений,Добавлено получение id через телеграм ,7
ГДД,Сервис работы с товарами,Добавлена группа ГоффДД ,9
ГДД,Работа с сервером,Обновлен тэг postgresql ,6
