Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Удалены планы неактивных партнеров ,4
ГДД,Сервис расчета зарплаты,Разбивка ролей по партнерской программе ,2
ГДД,Сервис расчета зарплаты,Добавлены отмены и овербукинг в отчет по курсам ,1
ГДД,Сервис расчета зарплаты,Добавлено отображение учебных центров в отчете по курсам ,3
ГДД,Сервис расчета зарплаты,Исправление расчета бонусов у отдела розницы по курсам ,2
ГДД,Сервис расчета зарплаты,Изменение API ,5
ГДД,Сервис расчета зарплаты,Перенесены ноутбуки с расчетами ,2
ГДД,Сервис расчета зарплаты,"Добавлен крон для расчета перетекающего плана по регионам каждый месяц 1,2,3,4,5 числа ",3
ГДД,Сервис расчета зарплаты,Разделен отчет по регионам на РОП и менеджера продаж ,2
ГДД,Сервис расчета зарплаты,Добавлена вариативность в периодах у универсальных отчетов ,5
ГДД,Сервис расчета зарплаты,Переработан отчет по курсам ,4
ГДД,Сервис расчета зарплаты,Доработан отчет по курсам. Убран джоин по ошибочным курсам ,6
ГДД,Сервис расчета зарплаты,Добавлено разграничение по ролям для универсальных отчетов ,5
ГДД,Сервис расчета зарплаты,Рефакторинг уведомлений ,4
ГДД,Сервис расчета зарплаты,Добавлены заказы Геософт Эдюкейшн в расчет бонусов ,3
ГДД,Сервис расчета зарплаты,Добавлена группа ProEndo by DentEdu 2025 ,2
ГДД,Сервис расчета зарплаты,Продажи берутся со следующего дня после вывода средств партнером ,2
ГДД,Сервис расчета зарплаты,Обновлена сортировка выплат партнеру ,3
ГДД,Сервис расчета зарплаты,Переработан отчет по бонусам для просмотра данных о сотрудниках находящихся не в подчинении ,1
ГДД,Сервис расчета зарплаты,План по Кирову обновлен до 500000 ,2
ГДД,Сервис подтверждений,Добавлено получение id через телеграм ,5
ГДД,Работа с сервером,Добавлен токен для пользователя ,2
ГДД,Работа с сервером,Обновлена мажорная версия gitlab ,2
ГДД,Работа с сервером,Обновлен dockerconfigjson по факту истечения сертификата ,4
ГДД,Работа с сервером,Добавлены учетные данные клиенту dentedu ,4
ГДД,Сервис авторизации,Обновлено изменение пароля ,2
