"Организация","Сервис","Задача","Время"
"ГДД","Сервис расчета зарплаты","Добавлено количество и сумма продаж по курсу для метрик KPI","1"
"ГДД","Сервис расчета зарплаты","Добавлена синхронизация с Dentedu и отчет по курсам с интеграцией обучающей платформы","4"
"ГДД","Сервис расчета зарплаты","Исправлен расчет бонусов Мирчева по регионам кроме Москвы для корректного расчета","4"
"ГДД","Сервис расчета зарплаты","Убраны дни из KPI, в которые менеджер пришел на курс, для корректировки учета","2"
"ГДД","Сервис расчета зарплаты","Добавлен эндпоинт для универсальных отчетов для расширения API","2"
"ГДД","Сервис расчета зарплаты","Добавлен .editorconfig для унификации кодстайла команды","5"
"ГДД","Сервис расчета зарплаты","Переделан вывод встреч на массив для упрощения формата данных","5"
"ГДД","Сервис расчета зарплаты","Добавлен вывод нулевой зарплаты при отсутствии данных для обработки пустых данных","2"
"ГДД","Сервис расчета зарплаты","Добавлен вывод штрафов и оклада на главной странице для отображения информации","5"
"ГДД","Сервис расчета зарплаты","Добавлена таблица с расчетом KPI для визуализации","3"
"ГДД","Сервис расчета зарплаты","Добавлен расчет KPI от активностей для учета взаимодействий менеджеров","2"
"ГДД","Сервис расчета зарплаты","Выставлены планы на регионы по Мирчеву для формирования индивидуальных планов","3"
"ГДД","Сервис расчета зарплаты","Убран трансфер планов из psql в mongodb для упрощения архитектуры хранения данных","5"
"ГДД","Сервис расчета зарплаты","Выставлен план РОП суммой планов сотрудников для агрегации на уровне руководства","6"
"ГДД","Сервис расчета зарплаты","Фиксирован план в факт за апрель для Медведева и Собаева","1"
"ГДД","Сервис расчета зарплаты","Добавлены шаблоны для создания роутеров для снижения рутины в API","1"
"ГДД","Сервис расчета зарплаты","Добавлена обработка входящей информации о KPI из Bitrix для интеграции с CRM","2"
"ГДД","Сервис расчета зарплаты","Добавлен механизм определения количества рабочих дней для точного расчета KPI","2"
"ГДД","Сервис расчета зарплаты","Перенесены планы с Вердяна на Мутных по Астрахани для корректировки кадров","2"
"ГДД","Сервис расчета зарплаты","Объединены группы Glyde MasterSafe OpenerS-flexi для упрощения аналитики по товарам","4"
"ГДД","Общая библиотека","Добавлено получение пользователя по фильтрам для гибкого поиска и выборки","6"
"ГДД","Сервис платежных систем","Добавлена проверка для заказов прошлого года для предотвращения дублирующих выплат","2"
"ГДД","Работа с сервером","Добавлены учетные данные клиенту dentedu для обеспечения доступа","3"
"ГДД","Работа с сервером","Добавлен сабдомен minioui для выделения интерфейса в отдельную зону","5"
"ГДД","Работа с сервером","Изменено количество памяти у minio для оптимизации ресурсов сервера","3"
"ГДД","Сервис расчета зарплаты","Настроены права доступа к отчетам по KPI для контроля безопасности","4"
"ГДД","Сервис расчета зарплаты","Обновлен формат выгрузки Excel для отчетов для улучшения совместимости","3"
"ГДД","Сервис расчета зарплаты","Добавлена фильтрация данных по дате в отчетах для гибкости генерации","3"
"ГДД","Сервис расчета зарплаты","Оптимизированы SQL-запросы для ускорения работы системы","6"
"ГДД","Сервис расчета зарплаты","Добавлена авторизация по токену для внешних API для безопасности интеграций","5"
"ГДД","Сервис расчета зарплаты","Добавлена страница с отчетами по KPI в админку для удобства администраторов","5"
"ГДД","Сервис расчета зарплаты","Внедрена система логирования операций API для мониторинга активности и ошибок","4"
"ГДД","Сервис расчета зарплаты","Добавлены комментарии в код и документация функций для улучшения поддержки","4"
"ГДД","Сервис расчета зарплаты","Переработана структура базы данных KPI для подготовки к масштабированию","6"
"ГДД","Сервис расчета зарплаты","Добавлен расчет среднего KPI по сотрудникам для аналитики команды","3"
"ГДД","Сервис расчета зарплаты","Разработаны unit-тесты для расчета KPI для повышения стабильности","5"
"ГДД","Сервис расчета зарплаты","Разработаны unit-тесты для выгрузки бонусов для проверки корректности отчетов","4"
"ГДД","Сервис расчета зарплаты","Проведено ревью кода и устранены замечания для поддержания качества разработки","4"
"ГДД","Сервис расчета зарплаты","Проведена интеграция с новым источником данных по продажам для актуализации","6"
"ГДД","Сервис расчета зарплаты","Настроена отправка уведомлений об ошибках KPI для оперативного информирования","3"
"ГДД","Сервис расчета зарплаты","Оптимизировано хранение логов расчета KPI для снижения нагрузки","3"
"ГДД","Сервис расчета зарплаты","Добавлен функционал ручного запуска перерасчета KPI для гибкости управления","4"
"ГДД","Сервис расчета зарплаты","Реализован расчет KPI за произвольный период для расширенной аналитики","4"
"ГДД","Сервис расчета зарплаты","Добавлена кнопка экспорта отчета KPI в PDF для удобства передачи данных","4"
