Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,План по Кирову обновлен до 500000 ,10
ГДД,Сервис расчета зарплаты,ТМК ООО Закреплен за Мутных ,6
ГДД,Сервис расчета зарплаты,Добавлен вывод в блистерах а не в файлах ,6
ГДД,Сервис расчета зарплаты,Добавлена проверка на количество блистеров перед выводом средств ,5
ГДД,Сервис расчета зарплаты,Добавлена отсечка по последнему выводу средств ,4
ГДД,Сервис расчета зарплаты,Добавлен отчет по выплатам партнеру ,6
ГДД,Сервис расчета зарплаты,Добавлено создание планов регионов ,7
ГДД,Сервис расчета зарплаты,Долги теперь выводятся при превышении 30 дней ,5
ГДД,Сервис расчета зарплаты,Добавлена поддержка планов по регионам и группам одновременно ,9
ГДД,Сервис расчета зарплаты,Совмещены 2 учетки Мирчева в одну ,3
ГДД,Общая библиотека,Добавлено получение пользователя по фильтрам ,4
ГДД,Сервис подтверждений,Добавлено получение id через телеграм ,6
ГДД,Сервис авторизации,Добавлен инвайт в телеграм ,9
