"Организация","Сервис","Задача"
"ГДД","Сервис расчета зарплаты","Исключить из расчета бонусов партнеров без закрепленного менеджера"
"ГДД","Сервис расчета зарплаты","Сделать отчет по регионам"
"ГДД","Сервис расчета зарплаты","Добавить логику расчета бонусов по регионам"
"ГДД","Сервис расчета зарплаты","Включить регионы в планирование"
"ГДД","Сервис расчета зарплаты","Разделить настройки для синхронизации заказов по разным параметрам"
"ГДД","Сервис расчета зарплаты","Добавить перетекающий план в отчет для региональных представителей"
"ГДД","Сервис расчета зарплаты","Изменить расчет зарплаты с учетом плана по конкретному городу"
"ГДД","Сервис расчета зарплаты","Сделать возможность привязывать к пользователю несколько юр. лиц"
"ГДД","Сервис расчета зарплаты","Реализовать модель, репозиторий, сервис и API для учета KPI"
"ГДД","Сервис расчета зарплаты","Сделать выбор юр. лица в отчете региональных представителей"
"ГДД","Сервис расчета зарплаты","Добавить отображение списка юр. лиц, доступных пользователю"
"ГДД","Сервис расчета зарплаты","Реализовать алгоритм для разнесения плана одного юр. лица на два"
"ГДД","Сервис расчета зарплаты","Сделать отчет о различиях между планами РОП и планами менеджеров"
"ГДД","Сервис расчета зарплаты","Отключить еженедельные премии из расчета"
"ГДД","Общая библиотека","Исправить ошибки в аутентификации"
"ГДД","Сервис подтверждений","Исправить ошибку подтверждения баннеров через Telegram"
"ГДД","Сервис платежных систем","Проверять заказы за прошлый год перед расчетами"
"ГДД","Работа с сервером","Удалить устаревший отчет"
"ГДД","Работа с сервером","Перенести домен с test.gof.dental на crm.gof.dental"
