Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Исправить информацию по оплате и отгрузке.
ГДД,Сервис расчета зарплаты,Добавить вывод статистики для регионального менеджера и РОП.
ГДД,Сервис расчета зарплаты,Реализовать проверку ролей при изменении плана.
ГДД,Сервис расчета зарплаты,Доработать годовой отчет.
ГДД,Сервис расчета зарплаты,Обновить проценты мотивации.
ГДД,Сервис расчета зарплаты,Изменить логику расчета под новые группы товаров.
ГДД,Сервис расчета зарплаты,Доработать хендлеры.
ГДД,Сервис расчета зарплаты,Добавить возможность загрузки планов из таблицы.
ГДД,Сервис расчета зарплаты,Загрузить планы на 2025 год по регионам.
ГДД,Сервис расчета зарплаты,Загрузить планы на 2025 год по терапии.
ГДД,Сервис расчета зарплаты,Добавить сумму в план-факт подчиненных.
ГДД,Сервис расчета зарплаты,Обновить пайплайн.
ГДД,Сервис расчета зарплаты,"Удалить ERGOnaizer, R2 Dual из всех отчетов."
ГДД,Сервис расчета зарплаты,Добавить сумму в отчеты.
ГДД,Сервис расчета зарплаты,Переработать структуру отчетов.
ГДД,Сервис расчета зарплаты,Объединить информацию по отделам.
ГДД,Сервис расчета зарплаты,Добавить новые отделы.
ГДД,Сервис расчета зарплаты,Исправить тесты.
ГДД,Сервис расчета зарплаты,Обновить проценты для РОП.
ГДД,Сервис расчета зарплаты,Добавить функционал получения списка региональных сотрудников.
ГДД,Сервис дашбордов,Исправить отображение больших планов.
ГДД,Общая библиотека,Реализовать декодирование текста запросов при логировании.
ГДД,Работа с сервером,Выпустить релиз Minio.
ГДД,Работа с сервером,Добавить чарт Minio.
ГДД,Работа с сервером,Доработать расписание бэкапов базы данных.
